,MLNN,RNN,LSTM,GA-MLNN,PSO-MLNN,ABFO-MLNN,CRO-MLNN,OCRO-MLNN,,,,,,,,,,,,
Sliding window k = 2,67.5236,30.7404,28.0918,22.0392,20.9906,19.2682,22.6881,20.0085,,,,,,,,,,,,
Sliding window k = 2,20.1328,27.3249,31.5707,20.488,19.4902,18.0164,23.1557,18.1775,,,,,,,,,,,,
Sliding window k = 2,24.4102,29.5546,17.6447,25.3024,28.1039,27.5495,28.7189,20.914,,,,,,,,,,,,
Sliding window k = 2,35.504,31.4107,26.2562,21.3895,21.717,32.9413,16.7806,19.7414,,,,,,,,,,,,
Sliding window k = 2,18.771,27.1858,20.9468,27.9121,30.3369,17.0831,22.5059,19.6768,,,,,,,,,,,,
Sliding window k = 2,41.3137,27.6589,20.488,21.8861,25.6795,26.7433,16.9433,21.0703,,,,,,,,,,,,
Sliding window k = 2,32.9303,24.7086,28.0906,30.6916,34.5682,23.3751,22.3401,24.7484,,,,,,,,,,,,
Sliding window k = 2,23.6535,27.4098,27.9851,22.2835,26.0226,24.1681,19.4965,21.3834,,,,,,,,,,,,
Sliding window k = 2,30.6027,25.9821,28.0918,22.6103,30.9443,17.6447,19.5238,19.437,,,,,,,,,,,,
Sliding window k = 2,26.0022,35.0887,31.5707,20.5699,16.7875,18.7557,22.9821,21.4439,,,,,,,,,,,,
Sliding window k = 2,36.1558,24.7002,21.3834,18.0851,29.7504,38.7891,18.035,19.6155,,,,,,,,,,,,
Sliding window k = 2,41.5465,31.7741,26.2562,22.5114,30.3115,30.8869,20.6971,19.4041,,,,,,,,,,,,
Sliding window k = 2,45.3008,22.0392,19.4965,19.6559,25.9461,16.6236,19.7042,16.6236,,,,,,,,,,,,
Sliding window k = 2,31.3512,20.488,19.5238,21.2493,33.3583,19.5462,27.9459,17.882,,,,,,,,,,,,
Sliding window k = 2,20.3288,25.3024,22.9821,24.3782,22.4067,16.9945,19.8719,20.3827,,,,,,,,,,,,
Sliding window k = 5,39.3486,21.3895,18.035,23.6348,23.7576,25.4851,21.7475,21.1498,,,,,,,,,,,,
Sliding window k = 5,40.6681,27.9121,20.6971,32.1166,18.0952,25.9416,27.7195,27.0219,,,,,,,,,,,,
Sliding window k = 5,60.7797,21.8861,19.7042,18.6348,18.4736,36.7563,27.9699,19.547,,,,,,,,,,,,
Sliding window k = 5,30.8799,30.6916,27.9459,25.0655,18.1942,24.5835,23.8601,19.1792,,,,,,,,,,,,
Sliding window k = 5,61.4193,22.2835,19.8719,21.3727,29.5606,21.2536,24.335,24.339,,,,,,,,,,,,
Sliding window k = 5,32.8464,22.6103,21.7475,18.9945,21.2548,26.8624,20.278,19.4442,,,,,,,,,,,,
Sliding window k = 5,49.3678,20.5699,27.7195,28.914,20.1361,27.6529,23.5427,22.0102,,,,,,,,,,,,
Sliding window k = 5,29.6546,18.0851,27.9699,24.0367,16.8053,41.0411,21.8853,22.2762,,,,,,,,,,,,
